method,sim_setup,beta_int,epsilon,rep,seed,status,synth_file,sigma,epochs,beta123_real,se_real,p_real,R2_real_train,beta123_syn,se_syn,p_syn,R2_syn_train,abs_err_beta123,RMSE_holdout,R2_holdout,RMSE_real_holdout,R2_real_holdout,delta_RMSE_holdout,delta_R2_holdout
DPWGAN,nonconstant,0.5,2.0,2,20102002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_2\synthetic_rep_02.csv,2.0,74,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.0020141682158489075,0.0033760433097067503,0.5507800136740243,0.9254432668770928,0.5074370962607538,1.584754648500627,0.5768507460848731,0.9962164170623211,0.8327843584088086,0.5885382314383059,-0.2559336123239355
DPWGAN,nonconstant,0.5,2.0,3,20102003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_2\synthetic_rep_03.csv,2.0,74,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.07947027274337459,0.015502673023551555,2.995429066185396e-07,0.878050634492082,0.5889215372199773,2.2870386130939573,0.11871474296594331,0.9962164170623211,0.8327843584088086,1.2908221960316362,-0.7140696154428653
DPWGAN,nonconstant,0.5,2.0,4,20102004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_2\synthetic_rep_04.csv,2.0,74,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.0002965045751610537,0.006570532319669761,0.9640071898728192,0.915437184718123,0.5091547599014417,1.3231609131826416,0.7050184610583972,0.9962164170623211,0.8327843584088086,0.3269444961203205,-0.12776589735041144
DPWGAN,nonconstant,0.5,2.0,5,20102005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_2\synthetic_rep_05.csv,2.0,74,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.05866053833616213,0.04297341344474381,0.17226162136360626,0.7512397286534758,0.5681118028127649,1.744881821016452,0.48701868470575493,0.9962164170623211,0.8327843584088086,0.748665403954131,-0.34576567370305367
DPWGAN,nonconstant,0.5,3.0,1,20103001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_3\synthetic_rep_01.csv,2.0,143,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.0038077409640656984,0.005450743704960729,0.4848306950019071,0.9127803296908616,0.5132590054406684,1.553397692753668,0.5934304750390988,0.9962164170623211,0.8327843584088086,0.5571812756913468,-0.23935388336970975
DPWGAN,nonconstant,0.5,3.0,2,20103002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_3\synthetic_rep_02.csv,2.0,143,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.001998200754442611,0.005910558729001997,0.7353131936059648,0.8583749640726723,0.5074530637221601,1.7243828159305519,0.49900097186128645,0.9962164170623211,0.8327843584088086,0.7281663988682308,-0.33378338654752215
DPWGAN,nonconstant,0.5,3.0,3,20103003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_3\synthetic_rep_03.csv,2.0,143,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.0005895658177143652,0.00410228752838266,0.8857265241564022,0.9219579635362722,0.5100408302943171,1.6574738857521503,0.5371258793144922,0.9962164170623211,0.8327843584088086,0.6612574686898292,-0.2956584790943164
DPWGAN,nonconstant,0.5,3.0,4,20103004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_3\synthetic_rep_04.csv,2.0,143,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.009871282502548697,0.0056383161555560056,0.08001088127021402,0.8648331049430101,0.5193225469791514,1.441535943361027,0.649877144359568,0.9962164170623211,0.8327843584088086,0.44531952629870597,-0.1829072140492406
DPWGAN,nonconstant,0.5,3.0,5,20103005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_3\synthetic_rep_05.csv,2.0,143,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.006582070406419593,0.002942852765856896,0.025326277466153502,0.8559151582862629,0.5028691940701832,1.4290787374406506,0.6559022554090963,0.9962164170623211,0.8327843584088086,0.4328623203783295,-0.1768821029997123
DPWGAN,nonconstant,0.5,4.0,1,20104001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_4\synthetic_rep_01.csv,2.0,244,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.008932652472978501,0.005199504777857851,0.08582213337935243,0.8009976805528516,0.5005186120036242,1.737556786409556,0.4913166475878108,0.9962164170623211,0.8327843584088086,0.7413403693472349,-0.3414677108209978
